!EXCLAMATION-POINT = éksklemēśenpōnt
UNADJUST = anejast
UNADJUSTABLE = anejastibel
UNADJUSTED = anejastid
UNADORN = anedorn
UNADORNED = anedornd
UNADULTERATED = anedalterētid
UNAFFECTED = aneféktid
UNAFFILIATE = enefiliēt
UNAFFILIATED = enefiliētid
UNAFFORDABLE = enefordebel
UNAFRAID = anefrēd
UNAIDED = enēdid
UNALIENABLE = enēliénebel
UNALLOCATE = enálekēt
UNALLOCATED = enálekētid
UNALLOWABLE = anelàebel
UNALLOYED = enálōd
UNALTERABLE = enólterebel
UNALTERABLY = enólterebli
UNALTERED = enólterd
UNAMBIGUOUS = anembigyewes
UNAMBIGUOUSLY = enembigyúesli
UNAMENDED = eneméndid
UNAMERICAN = enemériken
UNAMORTIZED = enámertāzd
UNANGST = óneŋst
UNANIMITY = yúnenimeti
UNANIMITY(1) = yúnenimiti
UNANIMOUS = yúnánemes
UNANIMOUSLY = yúnánemesli
UNANNOUNCED = anenànst
UNANSWERABLE = anánserebel
UNANSWERED = anánserd
UNANTICIPATED = anentisepētid
UNAPOLOGETIC = anepolejétik
UNAPPEALING = anepíliŋ
UNAPPETIZING = anápitāziŋ
UNAPPRECIATED = anepríśiētid
UNAPPROACHABLE = anepròcebel
UNAPPROVED = aneprúvd
UNARM = enarm
UNARMED = enarmd
UNASHAMED = aneśēmd
UNASHAMEDLY = aneśēmedli
UNASSAILABLE = anesēlebel
UNASSISTED = anesistid
UNASSUMING = anesúmiŋ
UNATTACH = anetác
UNATTACHED = anetáct
UNATTAINABLE = anetēnebel
UNATTENDED = eneténdid
UNATTRACTIVE = anetráktiv
UNAUDITED = enódetid
UNAUTHENTIC = anóŧéntik
UNAUTHORIZED = enóŧerāzd
UNAVAILABILITY = enevēlebiliti
UNAVAILABLE = anevēlebel
UNAVAILING = anevēliŋ
UNAVOIDABLE = anevōdebel
UNAVOIDABLY = anevōdebli
UNAWARE = anewér
UNAWARES = anewérz
UNBALANCE = enbálens
UNBALANCED = enbálenst
UNBEARABLE = enbérebel
UNBEARABLY = enbérebli
UNBEATABLE = anbítebel
UNBEATEN = enbíten
UNBECOMING = anbikamiŋ
UNBECOMING(1) = anbikamiŋ
UNBEKNOWN = anbinòn
UNBEKNOWN(1) = anbinòn
UNBEKNOWNST = enbinònst
UNBELIEVABLE = anbelívebel
UNBELIEVABLY = anbelívebli
UNBELIEVING = anbelíviŋ
UNBEND = anbénd
UNBENDING = anbéndiŋ
UNBIASED = anbāest
UNBLEMISHED = enblémiśt
UNBOLT = anbòlt
UNBOLTED = anbòltid
UNBOOK = enbuk
UNBORN = anborn
UNBOUND = enbànd
UNBOUNDED = enbàndid
UNBOWED = enbòd
UNBOWED(1) = enbàd
UNBRANDED = enbrándid
UNBREAKABILITY = enbrēkebiliti
UNBREAKABLE = enbrēkebel
UNBRIDLED = enbrādeld
UNBROKEN = enbròken
UNBUILDABLE = enbildebel
UNBUILT = anbilt
UNBUNDLE = enbandel
UNBUNDLED = enbandeld
UNBUNDLING = enbandliŋ
UNBURDEN = enberden
UNBURDENED = enberdend
UNBURNED = enbernd
UNBUTTON = enbaten
UNBUTTONED = enbatend
UNCALLED = enkóld
UNCANNILY = enkáneli
UNCANNY = enkáni
UNCAPHER = ankefer
UNCAPITALIZED = enkápitelāzd
UNCARING = enkériŋ
UNCEASING = ensísiŋ
UNCENSORED = ensénserd
UNCEREMONIOUS = anséremònies
UNCEREMONIOUSLY = anséremòniesli
UNCERTAIN = enserten
UNCERTAINLY = ensertenli
UNCERTAINTIES = ensertentiz
UNCERTAINTY = ensertenti
UNCHALLENGED = encálinjd
UNCHANGED = encēnjd
UNCHANGING = encēnjiŋ
UNCHARACTERISTIC = ankérikteristik
UNCHARACTERISTICALLY = ankérikteristikli
UNCHARTED = encartid
UNCHARTERED = encarterd
UNCHECKED = encékt
UNCIVIL = ensivel
UNCIVILIZED = ensivelāzd
UNCLAIMED = enklēmd
UNCLAMP = enklámp
UNCLAMPS = enklámps
UNCLASSIFIED = enklásifād
UNCLASSIFY = enklásifā
UNCLE = aŋkel
UNCLE'S = aŋkelz
UNCLEAN = enklín
UNCLEAR = enklir
UNCLES = aŋkelz
UNCLUTTERED = enklaterd
UNCOAT = enkòt
UNCOATED = enkòtid
UNCOIL = ankōl
UNCOILED = ankōld
UNCOLLECTABLE = enkeléktebel
UNCOLLECTED = enkeléktid
UNCOLLECTIBLE = enkeléktibel
UNCOMFORTABLE = enkamfertebel
UNCOMFORTABLY = enkamftebli
UNCOMMITTED = ankemitid
UNCOMMON = enkomen
UNCOMMONLY = ankomenli
UNCOMPENSATE = enkompensēt
UNCOMPENSATED = enkompensētid
UNCOMPETITIVE = enkempétetiv
UNCOMPLETE = ankemplít
UNCOMPLETED = ankemplítid
UNCOMPLICATE = enkomplekēt
UNCOMPLICATED = enkomplekētid
UNCOMPROMISING = enkompremāziŋ
UNCONCEALED = ankensíld
UNCONCERN = ankensern
UNCONCERNED = ankensernd
UNCONDITIONAL = ankendiśenel
UNCONDITIONALLY = ankendiśeneli
UNCONDITIONALLY(1) = ankendiśneli
UNCONFINED = ankenfānd
UNCONFIRMED = ankenfermd
UNCONNECTED = ankenéktid
UNCONSCIONABLE = enkonśenebel
UNCONSCIOUS = ankonśes
UNCONSCIOUSLY = ankonśesli
UNCONSCIOUSNESS = ankonśesnis
UNCONSOLIDATED = enkensoledētid
UNCONSTITUTIONAL = ankonstetúśenel
UNCONSTITUTIONALLY = ankonstetúśeneli
UNCONSTITUTIONALLY(1) = ankonstetúśneli
UNCONSTRAINED = ankenstrēnd
UNCONTAMINATED = ankentámenēted
UNCONTESTED = ankentéstid
UNCONTRADICTED = ankóntrediktid
UNCONTROLLABLE = ankentròlebel
UNCONTROLLABLY = ankentròlebli
UNCONTROLLED = ankentròld
UNCONTROVERSIAL = ankontreverśel
UNCONVENTIONAL = ankenvénśenel
UNCONVERTED = ankenvertid
UNCONVINCED = ankenvinst
UNCONVINCING = ankenvinsiŋ
UNCOOL = ankúl
UNCOOPERATIVE = enkòaperetiv
UNCOORDINATED = enkòordenētid
UNCORK = enkork
UNCORKED = enkorkt
UNCORKS = enkorks
UNCORRECTED = ankeréktid
UNCORROBORATED = ankeraberētid
UNCOUNTED = ankàntid
UNCOUPLE = enkapel
UNCOUTH = ankúŧ
UNCOVER = enkaver
UNCOVERED = enkaverd
UNCOVERING = enkaveriŋ
UNCOVERS = ankaverz
UNCRITICAL = enkritikel
UNCRITICALLY = enkritikeli
UNCRITICALLY(1) = enkritikli
UNCTAD = anktád
UNCTUOUS = aŋcwes
UNCURED = ankyerd
UNCUT = ankat
UND = and
UNDAMAGED = andámejd
UNDATED = andētid
UNDAUNTED = endóntid
UNDECIDED = andisādid
UNDECIDEDS = andisādidz
UNDECLARED = endiklérd
UNDEFEATED = andifítid
UNDEFINED = andifānd
UNDELIVERED = andiliverd
UNDEMOCRATIC = andémekrátik
UNDENIABLE = andināebel
UNDENIABLY = andināebli
UNDER = ander
UNDER-AGE = anderēj
UNDERACHIEVER = anderecíver
UNDERACHIEVERS = anderecíverz
UNDERAGE = anderij
UNDERARM = anderarm
UNDERBELLY = anderbéli
UNDERBERG = anderberg
UNDERBID = anderbid
UNDERBRUSH = anderbraś
UNDERCAPITALIZE = enderkápetelāz
UNDERCAPITALIZED = enderkápetelāzd
UNDERCARRIAGE = anderkárij
UNDERCLASS = anderklás
UNDERCLASSMEN = anderklásmén
UNDERCOAT = anderkòt
UNDERCOOK = enderkuk
UNDERCOOKED = enderkukt
UNDERCOUNT = anderkànt
UNDERCOUNTED = anderkàntid
UNDERCOVER = anderkaver
UNDERCURRENT = anderkerent
UNDERCURRENTS = anderkerents
UNDERCUT = anderkat
UNDERCUTS = anderkats
UNDERCUTTING = anderkatiŋ
UNDERDAHL = anderdal
UNDERDEVELOP = anderdivélep
UNDERDEVELOPED = anderdivélept
UNDERDEVELOPMENT = anderdevélepment
UNDERDOG = anderdóg
UNDERDOGS = anderdógz
UNDERDOWN = anderdàn
UNDEREMPLOY = anderimplō
UNDEREMPLOYED = anderimplōd
UNDEREMPLOYMENT = anderimplōment
UNDERESTIMATE = anderéstemēt
UNDERESTIMATE(1) = anderéstemet
UNDERESTIMATED = anderéstemētid
UNDERESTIMATES = anderéstimits
UNDERESTIMATES(1) = anderéstimēts
UNDERESTIMATING = anderéstimētiŋ
UNDERFINANCE = anderfináns
UNDERFINANCED = anderfinánst
UNDERFOOT = anderfut
UNDERFUND = anderfand
UNDERFUNDED = anderfandid
UNDERFUNDING = anderfandiŋ
UNDERGARMENT = andergarment
UNDERGARMENTS = andergarments
UNDERGO = andergò
UNDERGOES = andergòz
UNDERGOING = andergòiŋ
UNDERGONE = andergón
UNDERGRAD = andergrád
UNDERGRADUATE = andergrájewet
UNDERGRADUATES = andergrájewets
UNDERGROUND = andergrànd
UNDERGROWTH = andergròŧ
UNDERHANDED = anderhándid
UNDERHILL = anderhil
UNDERINSURE = anderinśor
UNDERINSURED = anderinśord
UNDERKOFFLER = anderkófeler
UNDERLIE = anderlā
UNDERLIES = anderlāz
UNDERLINE = anderlān
UNDERLINED = anderlānd
UNDERLINES = anderlānz
UNDERLING = anderliŋ
UNDERLINGS = anderliŋz
UNDERLINING = anderlāniŋ
UNDERLY = anderlā
UNDERLYING = anderlāiŋ
UNDERMAN = andermán
UNDERMANNED = andermánd
UNDERMINE = andermān
UNDERMINED = andermānd
UNDERMINES = andermānz
UNDERMINING = andermāniŋ
UNDERNEATH = anderníŧ
UNDERNOURISH = anderneriś
UNDERNOURISHED = anderneriśt
UNDERPAID = anderpēd
UNDERPANTS = anderpánts
UNDERPASS = anderpás
UNDERPAY = anderpē
UNDERPAYING = anderpēiŋ
UNDERPAYMENT = anderpēment
UNDERPAYMENTS = anderpēments
UNDERPERFORM = anderperform
UNDERPERFORMANCE = enderperformens
UNDERPERFORMED = anderperformd
UNDERPERFORMER = anderperformer
UNDERPERFORMING = anderperformiŋ
UNDERPIN = anderpin
UNDERPINNED = anderpind
UNDERPINNING = anderpiniŋ
UNDERPINNINGS = anderpiniŋz
UNDERPLAY = anderplē
UNDERPLAYED = anderplēd
UNDERPOWER = anderpàer
UNDERPOWERED = anderpàerd
UNDERPRICE = anderprās
UNDERPRICED = anderprāst
UNDERPRICING = anderprāsiŋ
UNDERPRIVILEDGED = anderprivlijd
UNDERRATE = anderrēt
UNDERRATED = anderrētid
UNDERREPORT = anderriport
UNDERREPORTED = anderriportid
UNDERREPORTING = anderriportiŋ
UNDERREPRESENT = anderréprizént
UNDERREPRESENTED = enderréprizéntid
UNDERSCORE = anderskor
UNDERSCORED = anderskord
UNDERSCORES = anderskorz
UNDERSCORING = anderskoriŋ
UNDERSEA = andersí
UNDERSEAS = andersíz
UNDERSECRETARY = andersékritéri
UNDERSELL = andersél
UNDERSELLING = anderséliŋ
UNDERSERVE = anderserv
UNDERSERVED = anderservd
UNDERSHIRT = anderśert
UNDERSHIRTS = anderśerts
UNDERSIDE = andersād
UNDERSIZED = andersāzd
UNDERSOLD = andersòld
UNDERSPIN = anderspin
UNDERSTAFF = anderstáf
UNDERSTAFFED = anderstáft
UNDERSTAND = anderstánd
UNDERSTANDABLE = anderstándebel
UNDERSTANDABLY = anderstándebli
UNDERSTANDING = anderstándiŋ
UNDERSTANDINGS = anderstándiŋz
UNDERSTANDS = anderstándz
UNDERSTATE = anderstēt
UNDERSTATED = anderstētid
UNDERSTATEMENT = anderstētment
UNDERSTATES = anderstēts
UNDERSTATING = anderstētiŋ
UNDERSTOOD = anderstud
UNDERSTORY = anderstori
UNDERSTUDY = anderstadi
UNDERSUBSCRIBED = andersebskrābd
UNDERTAKE = andertēk
UNDERTAKEN = andertēken
UNDERTAKER = andertēker
UNDERTAKES = andertēks
UNDERTAKING = andertēkiŋ
UNDERTAKINGS = andertēkiŋz
UNDERTONE = andertòn
UNDERTONES = andertònz
UNDERTOOK = andertuk
UNDERTOW = andertò
UNDERTOWS = andertòz
UNDERUSE = anderyúz
UNDERUSED = anderyúzd
UNDERUTILIZE = anderyútelāz
UNDERUTILIZED = anderyútelāzd
UNDERVALUATION = andervályúēśen
UNDERVALUE = andervályú
UNDERVALUED = andervályúd
UNDERVALUES = andervályúz
UNDERVALUING = endervályúiŋ
UNDERWATER = anderwóter
UNDERWAY = anderwē
UNDERWEAR = anderwér
UNDERWEIGHT = anderwēt
UNDERWEIGHTED = enderwētid
UNDERWENT = anderwént
UNDERWHELM = anderwélm
UNDERWHELMED = anderwélmd
UNDERWITHHELD = anderwiŧhéld
UNDERWITHHOLD = anderwiŧhòld
UNDERWITHHOLDING = anderwiŧhòldiŋ
UNDERWOOD = anderwud
UNDERWOODS = anderwudz
UNDERWORLD = anderwerld
UNDERWRITE = anderrāt
UNDERWRITER = anderrāter
UNDERWRITER'S = anderrāterz
UNDERWRITERS = anderrāterz
UNDERWRITERS' = anderrāterz
UNDERWRITES = anderrāts
UNDERWRITING = anderrātiŋ
UNDERWRITINGS = anderrātiŋz
UNDERWRITTEN = anderriten
UNDERWROTE = anderròt
UNDESERVED = andizervd
UNDESERVING = andizerviŋ
UNDESIRABLE = andizārebel
UNDETECTABLE = enditéktebel
UNDETECTED = anditéktid
UNDETERMINED = anditermind
UNDETERMINED(1) = anditermend
UNDETERMINING = anditerminiŋ
UNDETERMINING(1) = anditermeniŋ
UNDETERRED = anditerd
UNDEVELOPED = andivélept
UNDIAGNOSED = endāegnòst
UNDID = andid
UNDIFFERENTIATED = endiferénśiētid
UNDIGNIFIED = endignifād
UNDILUTE = andelút
UNDILUTED = andelútid
UNDIMINISHED = andeminiśt
UNDINE = andín
UNDIPLOMATIC = endiplemátik
UNDIPLOMATICALLY = endiplemátikli
UNDISCIPLINED = endisiplind
UNDISCLOSED = andisklòzd
UNDISCOVERED = andiskaverd
UNDISGUISED = andisgāzd
UNDISPUTED = andispyútid
UNDISTINGUISHED = andistiŋgwiśt
UNDISTRIBUTED = andistribyútid
UNDISTURBED = andisterbd
UNDIVERSIFIED = andiversifād
UNDIVIDED = andevādid
UNDO = endú
UNDOCK = endok
UNDOCKING = endokiŋ
UNDOCUMENTED = endokyeméntid
UNDOCUMENTED(1) = endokyeménid
UNDOING = endúiŋ
UNDONE = endan
UNDOUBTED = endàtid
UNDOUBTEDLY = endàtidli
UNDREAMED = endrímd
UNDRESS = endrés
UNDRESSED = endrést
UNDUE = endú
UNDULATE = anjelēt
UNDULATED = anjelēted
UNDULATES = anjelēts
UNDULATING = anjelētiŋ
UNDULY = endúli
UNDYING = endāiŋ
UNEARNED = enernd
UNEARTH = enerŧ
UNEARTHED = enerŧt
UNEARTHING = enerŧiŋ
UNEARTHLY = enerŧli
UNEASE = eníz
UNEASILY = enízeli
UNEASINESS = anízines
UNEASY = enízi
UNECONOMIC = enékenomik
UNECONOMICAL = enékenomikel
UNEDITED = enédetid
UNEDUCATED = enéjukētid
UNELECTABLE = aniléktebel
UNELECTED = aniléktid
UNEMOTIONAL = animòśenel
UNEMOTIONAL(1) = anemòśenel
UNEMPLOY = enimplō
UNEMPLOYABLE = enimplōebel
UNEMPLOYED = anémplōd
UNEMPLOYMENT = animplōment
UNENCUMBER = anénkamber
UNENCUMBERED = anénkamberd
UNENDING = enéndiŋ
UNENFORCEABLE = anénforsebel
UNENFORCED = anénforst
UNENLIGHTENED = anénlātend
UNENTHUSIASTIC = eninŧúziástik
UNENUMERATED = eninúmerētid
UNENVIABLE = enénvíebel
UNEO = yúniò
UNEQUAL = eníkwel
UNEQUALED = eníkwald
UNEQUIVOCABLY = enikwivekebli
UNEQUIVOCAL = anikwivekel
UNEQUIVOCAL(1) = anikwivekel
UNEQUIVOCALLY = anikwivekeli
UNEQUIVOCALLY(1) = anikwivekli
UNESCO = yúnéskò
UNETHICAL = enéŧikel
UNETHICALLY = enéŧikli
UNEVEN = eníven
UNEVENLY = enívenli
UNEVENTFUL = anivéntfel
UNEXCITING = eniksātiŋ
UNEXERCISED = enéksersāzd
UNEXPECTED = anikspéktid
UNEXPECTEDLY = anikspéktidli
UNEXPIRED = anikspāerd
UNEXPLAINABLE = aniksplēnebel
UNEXPLAINED = aniksplēnd
UNEXPLODED = aniksplòdid
UNEXPLOITED = eniksplōtid
UNEXPLORED = aniksplord
UNFAILING = enfēliŋ
UNFAILINGLY = enfēliŋli
UNFAIR = enfér
UNFAIR(1) = anfér
UNFAIR(2) = ónfér
UNFAIRLY = enférli
UNFAIRNESS = enférnes
UNFAITHFUL = enfēŧfel
UNFAMILIAR = anfemilyer
UNFAMILIARITIES = anfemilyéretiz
UNFAMILIARITY = anfemilyéreti
UNFASHIONABLE = enfáśenebel
UNFATHOMABLE = enfáđemebel
UNFAV = enfēv
UNFAVORABLE = anfēverebel
UNFAVORABLY = enfēverebli
UNFAZED = enfēzd
UNFEASIBLE = enfízebel
UNFEELING = enfíliŋ
UNFENCED = enfénst
UNFETTERED = enféterd
UNFILLED = enfild
UNFILTERED = enfilterd
UNFINISHED = enfiniśt
UNFIT = enfit
UNFLAGGING = enflágiŋ
UNFLAPPABLE = enflápebel
UNFLATTERING = enfláteriŋ
UNFLINCHING = enflinciŋ
UNFOCUSED = enfòkest
UNFOLD = enfòld
UNFOLDED = enfòlded
UNFOLDING = enfòldiŋ
UNFOLDS = enfòldz
UNFORESEEABLE = anforsíebel
UNFORESEEN = anforsín
UNFORGETTABLE = anfergétebel
UNFORGIVABLE = anforgivebel
UNFORGIVEN = anforgiven
UNFORGIVEN(1) = anfergiven
UNFORGIVING = enfergiviŋ
UNFORMED = enformd
UNFORTUNATE = enforcenet
UNFORTUNATE(1) = enforcúnet
UNFORTUNATELY = enforcenetli
UNFORTUNATELY(1) = enforcúnetli
UNFORTUNATES = enforcenets
UNFORTUNATES(1) = enforcúnets
UNFOUNDED = enfàndid
UNFRIENDLY = enfréndli
UNFROZEN = enfròzin
UNFULFILLED = anfulfild
UNFUNDED = enfandid
UNFUNNILY = enfaneli
UNFURL = enferl
UNFURLED = enferld
UNFURLING = enferliŋ
UNG = aŋ
UNGAINLY = engēnli
UNGAR = aŋger
UNGARO = úŋgarò
UNGER = aŋger
UNGERER = aŋerer
UNGERMANN = enjermen
UNGLAMOROUS = englámeres
UNGLUE = englú
UNGLUED = englúd
UNGO = engò
UNGODLY = engódli
UNGOVERNABLE = engavernebel
UNGRATEFUL = engrētfel
UNGUARDED = engardid
UNHAMPERED = enhámperd
UNHAPPILY = enhápeli
UNHAPPINESS = enhápinis
UNHAPPY = enhápi
UNHARMED = enharmd
UNHEALTHFUL = enhélŧfel
UNHEALTHY = enhélŧi
UNHEARD = enherd
UNHEDGED = enhéjd
UNHEEDED = enhídid
UNHELPFUL = enhélpfel
UNHERALDED = enhéreldid
UNHESITATINGLY = enhézitētiŋli
UNHINDERED = enhinderd
UNHINGE = enhinj
UNHINGED = enhinjd
UNHITCH = enhic
UNHOLY = enhòli
UNHOOK = enhuk
UNHORSED = enhorst
UNHURRIED = enherid
UNHURT = enhert
UNI = yúni
UNIBANCORP = yúnibánkorp
UNICEF = yúneséf
UNICEF'S = yúneséfs
UNICELLULAR = yúnisélyeler
UNICENTER = yúnisénter
UNICOM = yúnikóm
UNICORN = yúnikorn
UNICORP = yúnikorp
UNICORP'S = yúnikorps
UNICYCLE = yúnesākel
UNICYCLES = yúnesākelz
UNIDEN = yúnidén
UNIDEN'S = yúnidénz
UNIDENTIFIED = anādéntefād
UNIFICATION = yúnefekēśen
UNIFIED = yúnefād
UNIFIL = yúnifil
UNIFORCE = yúnifors
UNIFORM = yúneform
UNIFORMED = yúneformd
UNIFORMITY = yúneformeti
UNIFORMLY = yúneformli
UNIFORMS = yúneformz
UNIFY = yúnefā
UNIFYING = yúnefāiŋ
UNIGESCO = yúnigéskò
UNIKOM = yúnikóm
UNILAB = yúniláb
UNILATERAL = yúneláterel
UNILATERALISM = yúniláterelizem
UNILATERALLY = yúnelátereli
UNILATERALLY(1) = yúnelátreli
UNILEVER = yúnilíver
UNILEVER'S = yúnilíverz
UNIMAGINABLE = animájinebel
UNIMAGINATIVE = enimájinetiv
UNIMAGINED = animájend
UNIMATE = yúnimēt
UNIMATION = yúnimēśen
UNIMEDIA = yúnimídie
UNIMPAIRED = animpérd
UNIMPEACHABLE = animpícebel
UNIMPEDED = animpídid
UNIMPORTANT = enimportent
UNIMPRESSED = animprést
UNIMPRESSIVE = animprésiv
UNIMPROVED = animprúvd
UNINCORPORATED = aninkorperētid
UNINDICTED = anindātid
UNINFECTED = aninféktid
UNINFORMATIVE = eninformetiv
UNINFORMED = aninformd
UNINHABITABLE = aninhábetebel
UNINHABITED = aninhábetid
UNINHIBITED = aninhibitid
UNINITIATED = aniniśiētid
UNINITIATED(1) = aniniśiētid
UNINJURED = eninjerd
UNINSPIRED = aninspāerd
UNINSPIRING = eninspāriŋ
UNINSURABLE = eninśurebel
UNINSURED = aninśurd
UNINTELLIGIBLE = anintélejebel
UNINTENDED = aninténdid
UNINTENTIONAL = aninténśenel
UNINTENTIONALLY = aninténśeneli
UNINTENTIONALLY(1) = aninténśneli
UNINTERESTED = enintrested
UNINTERESTING = enintrestiŋ
UNINTERRUPTED = aninteraptid
UNINTERRUPTED(1) = anineraptid
UNINTERRUPTIBLE = eninteraptebel
UNINTERRUPTIBLE(1) = enineraptebel
UNINVITED = aninvātid
UNINVITING = aninvātiŋ
UNINVOLVED = eninvólvd
UNION = yúnyen
UNION'S = yúnyenz
UNIONDALE = yúnyendēl
UNIONFED = yúnyenféd
UNIONISM = yúnyenizem
UNIONIST = yúnyenest
UNIONISTS = yúnyenists
UNIONIZATION = yúnyenezēśen
UNIONIZE = yúnyenāz
UNIONIZED = yúnyenāzd
UNIONIZING = yúnyenāziŋ
UNIONS = yúnyenz
UNIONS' = yúnyenz
UNIQUE = yúník
UNIQUELY = yúníkli
UNIQUENESS = yúníknes
UNIROYAL = yúnirōel
UNISEX = yúniséks
UNISOM = yúnesom
UNISON = yúnesen
UNISON(1) = yúnisen
UNISONS = yúnesenz
UNISONS(1) = yúnisenz
UNISOURCE = yúnisors
UNISSUED = eniśúd
UNISYS = yúnisis
UNISYS' = yúnisis
UNISYS'S = yúnisisiz
UNIT = yúnet
UNIT(1) = yúnit
UNIT'S = yúnits
UNITA = yúníte
UNITAF = yúnitáf
UNITARIAN = yúnetérien
UNITARY = yúnitéri
UNITAS = yúnātes
UNITE = yúnāt
UNITED = yúnāted
UNITED(1) = yúnātid
UNITED'S = yúnātedz
UNITEDBANK = yúnātidbáŋk
UNITEK = yúniték
UNITEL = yúnitél
UNITES = yúnāts
UNITHOLDER = yúnithòlder
UNITHOLDERS = yúnithòlderz
UNITING = yúnātiŋ
UNITRIN = yúnitrin
UNITRIN'S = yúnitrinz
UNITRODE = yúnitròd
UNITRODE'S = yúnitròdz
UNITS = yúnets
UNITS(1) = yúnits
UNITS' = yúnits
UNITY = yúneti
UNITY(1) = yúniti
UNIVA = yúnive
UNIVAR = yúniver
UNIVATION = yúnivēśen
UNIVERSAL = yúneversel
UNIVERSAL'S = yúneverselz
UNIVERSALITY = yúneversáleti
UNIVERSALLY = yúneverseli
UNIVERSE = yúnevers
UNIVERSES = yúneversiz
UNIVERSITIES = yúneversetiz
UNIVERSITIES' = yúniversitiz
UNIVERSITY = yúneverseti
UNIVERSITY'S = yúneversetiz
UNIVISA = yúnivíse
UNIVISION = yúniviźen
UNIX = yúniks
UNJUST = enjast
UNJUSTIFIABLE = anjastifāebel
UNJUSTIFIABLY = anjastifāebli
UNJUSTIFIED = enjastefād
UNJUSTLY = enjastli
UNKEFER = aŋkifer
UNKEMPT = enkémpt
UNKIND = enkānd
UNKINDEST = enkāndist
UNKNOWABLE = ennòebel
UNKNOWING = ennòiŋ
UNKNOWINGLY = ennòiŋli
UNKNOWN = ennòn
UNKNOWNS = enònz
UNLABELED = enlēbeld
UNLAND = anlend
UNLAWFUL = enlófel
UNLAWFULLY = enlófeli
UNLEADED = enléded
UNLEASH = enlíś
UNLEASHED = enlíśt
UNLEASHES = enlíśiz
UNLEASHING = enlíśiŋ
UNLESS = enlés
UNLEVERAGED = enlévrijd
UNLICENSED = enlāsenst
UNLIKE = enlāk
UNLIKELY = enlākli
UNLIMITED = enlimeted
UNLIMITED(1) = enlimitid
UNLINED = enlānd
UNLISTED = enlistid
UNLIVABLE = enlivebel
UNLOAD = enlòd
UNLOADED = enlòded
UNLOADED(1) = enlòdid
UNLOADING = enlòdiŋ
UNLOADS = enlòdz
UNLOCK = enlok
UNLOCKED = enlokt
UNLOCKING = enlokiŋ
UNLOVED = enlavd
UNLUCKY = enlaki
UNMADE = enmēd
UNMANAGE = enmánij
UNMANAGEABLE = enmánijebel
UNMANAGED = enmánijd
UNMANNED = enmánd
UNMARKED = enmarkt
UNMARRIED = enmérid
UNMASK = enmásk
UNMASKED = enmáskt
UNMATCHED = enmáct
UNMENTIONABLE = enménśenebel
UNMENTIONED = enméncend
UNMERCIFUL = enmersifel
UNMET = enmét
UNMISTAKABLE = anmistēkebel
UNMISTAKABLY = anmistēkebli
UNMITIGATED = enmitegētid
UNMIXED = enmikst
UNMOLESTED = anmeléstid
UNMOVED = enmúvd
UNNAMED = ennēmd
UNNATURAL = ennácerel
UNNATURALLY = ennácereli
UNNATURALLY(1) = ennácerli
UNNATURALLY(2) = enácerli
UNNATURALLY(3) = ennácreli
UNNECESSARILY = ennéseséreli
UNNECESSARY = ennéseséri
UNNEEDED = ennídid
UNNERVE = enerv
UNNERVED = ennervd
UNNERVING = enerviŋ
UNNOTICED = ennòtist
UNO = enò
UNO(1) = únò
UNOBSTRUCTED = anebstraktid
UNOBTAINABLE = anebtēnebel
UNOBTRUSIVE = anebtrúsiv
UNOCAL = yúnekál
UNOCAL(1) = yúnekól
UNOCAL'S = yúnekálz
UNOCAL'S(1) = yúnekólz
UNOCCUPIED = enokyepād
UNOFFICIAL = anefiśel
UNOFFICIALLY = enefiśeli
UNOPENED = enòpend
UNOPPOSED = anepòzd
UNORGANIZED = enorgenāzd
UNORTHODOX = enorŧedoks
UNOS = únòz
UNOSOM = yúnòsóm
UNOSOM(1) = yúnòsem
UNPACK = enpák
UNPACKED = enpákt
UNPACKING = enpákiŋ
UNPAID = enpēd
UNPAINTED = enpēntid
UNPALATABLE = enpáletebel
UNPARALLELED = enpéreléld
UNPATRIOTIC = enpētriatik
UNPAVED = apēvd
UNPAYABLE = enpēebel
UNPERTURBED = anperterbd
UNPLACED = enplēst
UNPLANNED = enplánd
UNPLEASANT = enplézent
UNPLEASANTLY = enplézentli
UNPLEASANTNESS = enplézentnes
UNPLUG = enplag
UNPLUGGED = enplagd
UNPLUGGED(1) = anplagd
UNPOPULAR = anpopyeler
UNPOPULARITY = enpopyelériti
UNPRECEDENTED = enprésidéntid
UNPRECEDENTEDLY = enprésedéntidli
UNPREDICTABILITY = anprediktebiliti
UNPREDICTABLE = anpridiktebel
UNPREDICTABLY = anpridiktebli
UNPREPARED = anpripérd
UNPRESERVED = enprezervd
UNPRESERVED(1) = enprizervd
UNPRESERVED(2) = enprizervd
UNPRESSURIZED = enpréśerāzd
UNPRETENTIOUS = anpriténśes
UNPRINCIPLED = enprinsepeld
UNPRINTABLE = enprintebel
UNPROCESSED = enprósést
UNPRODUCTIVE = anpredaktiv
UNPROFESSIONAL = anpreféśenel
UNPROFITABILITY = enprofitebiliti
UNPROFITABLE = enprofitebel
UNPROFOR = apròfor
UNPROFOR'S = apròforz
UNPROMISING = enprómisiŋ
UNPROTECTED = anpretéktid
UNPROVED = enprúvd
UNPROVEN = enprúven
UNPROVOKED = anprevòkt
UNPUBLICIZED = enpablisāzd
UNPUBLISHED = enpabliśt
UNPUNISHED = enpaniśt
UNQUALIFIED = enkwalifād
